収録カードナンバー,レアリティ,日本語名,フリガナ,ルビ,種類,所属軍,属性1,属性2,属性3,属性4,Lv,ATK,HP,STK,左上アイコン,左下アイコン,テキスト,CNT,フレーバーテキスト
2021GB04-001,★★★★Ⓛ,五大竜王 炎血皇 マグヴァリウス ダイナ,,,ユニット,ウォルナー,気合,ドラゴン,ドラゴンロード,炎,4,7,7,3,CNT TD OD,レジェンド,【コスト軽減】［DR４］するか、［手札１枚をデッキの下に置く］事で、２コストでプレイしてもよい。 【TD】【OD】「ダイナ・パニッシャー」 相手の、敵ユニット・セットカード・墓地のカードをそれぞれ１枚ずつまで選び、除外する。,これの『ダイナ・パニッシャー』を使う。,炎を弄ぶものはいずれ炎に巻かれる。人よ、奢るなかれ。神の領域を弄ぶには資格がいる。
2021GB04-002,★★★★,黒剣の魔姫 フレア,,,ユニット,ウォルナー,気合,戦士,魔王,レギンレイヴ,3,4,3,3,TD,,【TD】１枚引く。 ■「魔姫撃滅剣（クールビューティーハルマゲドン）じゃー！」 これが【創生召喚】された時、敵ユニット１体を選び、破壊する。 ■「わしは期待を裏切らん女なのじゃ」 通常：［DR１］墓地のこれをデッキの下に置く。,,わしと組むとは、お主、目が高いぞ！
2021GB04-003,★★★★,四大魔竜 死影王 ザカトー,,,ユニット,ウォルナー,死影,ドラゴンロード,トレイター,魔王,2,8,4,2,CNT,,■「死の超越」 通常：［DR３/死影・闇］墓地のこれを特殊召喚する。 ■これが敵ユニットを破壊した時、君のダメージゾーンのカード１枚を墓地に置き、１ダメージを受ける。 ■これは効果ダメージを受けない。,君のダメージゾーンに〈死影・闇〉がなければ、君は２ダメージを受ける。,死を拒絶せよ。我らは死影。生と死を超越するもの。
2021GB04-004,★★★★,死影四騎士 “凍土の影” ゼイレグ,,,ユニット,ウォルナー,死影,大地,トレイター,ビースト,2,6,3,1,,,■「喉笛を裂く者」 相手がユニットを場に出した君のターン中、即時タイミングでこれを手札から特殊召喚できる。 ■「霊鳴撃」 これが敵ユニットを破壊した時、相手に１ダメージを与える。,,荒涼たる北の大地で、彼は確かに見た。死と生を超える存在の力強さを。その不滅の有り様を見つめ続けるため、彼は死影の最初の騎士となった。
2021GB04-005,★★★★,薄明のドルイド,はくめい,,ユニット,ウォルナー,大地,魔術師,レギンレイヴ,,2,2,1,0,TD,,【TD】これの『半夜』を使う。 【創生召喚】素材：これと〈ビースト・レギンレイヴ〉１体以上 素材の合計レベル以下のレベルを持つ〈ビースト・レギンレイヴ〉１体をデッキから特殊召喚してもよい。 ■「半夜」 これが『シグルーン』で場に出た時、君の墓地のレジェンドではないレベル１以下の〈レギンレイヴ〉１体を特殊召喚する。メインフェイズ終了時に、この効果で特殊召喚したユニットとこれを破壊する。 ■これは効果ダメージを受けない。,,
2021GB04-006,★★★★,星剣の姫騎士 アミル,,,ユニット,ウォルナー,戦士,光,闇,レギンレイヴ,1,2,1,1,CNT,,■「閃撃・綺羅」 これが場に出た時、レベル１以下の敵ユニット１体を選び、破壊する。,これの『閃撃・綺羅』を使う。,純白であるがゆえに、その色は移ろいやすく、危うい。
2021GB04-007,★★★,神封じのダンジョンマスター・メリル,,,ユニット,ウォルナー,ダンジョン,魔王,,,2,0,1,0,,,■これは守備ゾーンに置けない。  ■「引きこもり」 これは戦闘ダメージを受けない。  ■「チートブースト」 通常：［これをレストする］ターン終了時まで、君のルーラーはATK５になり、【貫通】を得る。  ■「真・イデア・デザイア」 君がイベントをプレイする際、そのコストで支払うエナジーは１少なくなる。（０にはならない）,,「電脳アキハバラを作り、ウォルナーに日本のサブカル文化を広める。それが僕の夢なんだよ、小夜さん。」
2021GB04-008,★★★,特殊強化服 “月影”,げつえい,,ユニット,ウォルナー,気合,ニンジャ,ヒーロー,,2,4,4,2,,,【装着】「強化兵装ゲツエイ、見参!!」 【装着条件】ATK３、STK３以上で、能力に『攻撃する際』を持たないルーラー 【装着能力】「死線」 お互いのダメージゾーンのカードが合計14枚以上であれば、これは【２回攻撃】を得る。,,強化兵装“月影”。筋肉の伸縮速度と力を三倍にするそれは、高度な反射神経を持つ山田隊長にしか扱えない。
2021GB04-009,★★★,ソーンドラゴン メリヴァ,,,ユニット,ウォルナー,大地,ドラゴン,,,-2,6,6,2,,,【オープンカード】 【召喚条件】［DR２/大地・ドラゴン］する。そうしなければ、これを墓地に置き、君は２ダメージを受ける。 ■「ソーンエルド」 即時：［DR３］ターン終了時まで、これは【貫通】を得る。 ■これは手札以外にある間、レベル２として扱う。（デッキ構築の際にはレベル-２として扱う）,,なし
2021GB04-010,★★★,騎竜偵察,,,イベント,ウォルナー,風,戦技,タクティクス,,1,,,,CNT,,使用タイミング：即時 ■君のデッキの上から２枚を見る。その中の１枚を手札に加える。残りをデッキの下に置く。,１枚引く。その後、手札１枚を捨てる。,ファンタジー世界の戦いは中世のそれに準じない。航空戦力や城壁を破壊する巨大生物兵器もある以上、その様相はむしろ第二次世界大戦に近いようだ。（山田レポート）
2021GB04-011,★★,死影四騎士 “死聖人” ゴラル,,,ユニット,ウォルナー,死影,ダンジョン,トレイター,魔術師,2,5,5,1,,,■「死影呪法ザカリア【ターン１】」 通常：［君のデッキの上から３枚をダメージゾーンに置く］君のダメージゾーンから合計レベルが２以下になるように、〈死影〉を２体まで特殊召喚する。,,生死を超える絶対存在。我らが新しき御子に祝福あれ。
2021GB04-012,★★,加虐の天使 シャムハザ,かぎゃく,,ユニット,ウォルナー,風,死影,戦士,,1,3,3,1,,,■「ダイイング・エクスタシー」 これが相手にダメージを与えた時、［DR３］してもよい。そうしたら、ライフを１回復する。,,加虐とは、望む相手に対しては奉仕であり、元は奉仕の天使であった彼女に相応しい二つ名だ。
2021GB04-013,★★,冒険依頼,,,イベント,ウォルナー,魔法,歴史,,,0,,,,CNT,,使用タイミング：【創生召喚】を持つ味方ユニットがあれば、通常タイミングで使える。 ■［DR２］デッキからレベル２以下のユニット１体を能力を全て失わせて特殊召喚する。この効果で特殊召喚したユニットは攻撃できず、メインフェイズ終了時にデッキの下に置かれる。,君の墓地にあるユニットカードを２枚まで選び、任意の順でデッキの下に置く。,「この剣をある人に渡す必要がありまして。“縁の魔法”を司る貴方を探していたんです。」 「協力するわ。ところで貴方ってリザードマンなの？」 「いやその……うん、惜しい！正確にはレプタリアン・リトルグリーン種と言いまして、私はその中でも特にイケメンに属し……」
2021GB04-014,★★,死影呪法 アータル,,,イベント,ウォルナー,死影,魔法,闇,,2,,,,,,使用タイミング：通常 ■［DR2/死影・闇］場の相手のカード１枚を選び、破壊する。,,地球よ。我らが御子誕生のため、その生命を全て差し出せ。
2021GB04-015,★★,王の帰還,,,イベント,ウォルナー,アクシデンツ,魔王,,,-3,,,,CNT,,【オープンカード】 ■１枚引くか、１ドライブする。 ■「次元ゲート」 相手は自身の墓地のレベル２以下のユニット１体を特殊召喚してもよい。,これの『次元ゲート』を使う。,パウラの運命操作、メリルの未来予測により、山田一行は魔竜の王が地球に赴いている内に神殿に突入し、隠し通路から帝国へと帰還することが可能なはずであった。だがゾアとの戦いに手こずり、魔竜の帰還を許してしまう……！
2021GB04-016,★,死影四騎士 “破滅の妖婦” カリモヴァ,はめつのようふ,,ユニット,ウォルナー,死影,ダンジョン,トレイター,魔術師,2,3,6,1,,,■「流転」 君の〈死影〉が敵ユニットを破壊した時、君のダメージゾーンの裏向きのカード１枚を選び、表向きにする。 ■「霊鳴撃」 これが敵ユニットを破壊した時、相手に１ダメージを与える。,,なぜお前に加護を与えたかだと？豚は太らせて喰えというではないか。
2021GB04-017,★,聖剣のリクルーター,,,ユニット,ウォルナー,キーマン,戦士,ダンジョン,ピポバース,1,2,1,1,CNT TD OD,,【TD】【OD】「トラブル特異点」 以下のどちらかを行う。 ○［DR４］デッキからレベル１以下の〈戦士〉１体を特殊召喚する。 ○君のダメージゾーンのカード１枚を選び、デッキの下に置く。その後、デッキの上から１枚をダメージゾーンに置く。（【CNT】は使えない）,これの『トラブル特異点』を使う。,アスライアの遣いとしてエックスカリバーを山田に届けるべく、旅を続けるリクルーターであった。
2021GB04-018,★,聖剣の騎士 ルカ・リーハルト,,,ユニット,ウォルナー,雷,戦士,光,,1,4,3,2,,,【装着】「見せてやろう、聖剣フルグベインの力を！」 【装着条件】なし ■「フルグベイン」 これのATKは、君の墓地にある“聖剣の騎士”の枚数分プラスされる。,,リーハルト家の聖剣は、妾腹の子ルカを主と認めた。皮肉な運命は彼に光をもたらすのか、それとも……
2021GB04-019,★,インセクトマロウダー,,,ユニット,ウォルナー,大地,ビースト,,,1,1,4,1,,,■「植林」 通常：［DR２/大地］君の墓地の《殺戮者の森》１枚をフィールドゾーンに置く。,,「バギババギギギ！（ここはワシのキノコ畑じゃ！入ってくるんじゃない！）」 必死に訴えるインセクトマロウダーだったが、人間に理解されるはずもなく……
2021GB04-020,★,炎獄剣のザルシルド,,,ユニット,ウォルナー,戦士,炎,闇,,1,6,2,2,,,,,ウォルナーは数百年の間、侵略次元の影響を受けた魔物たちの驚異にされされていたが、死影軍団の如き組織だった侵略次元の侵攻は、かつてない驚異と言えた。
2021GB04-021,★,ブラックナイト・ロフエル,,,ユニット,ウォルナー,戦士,トレイター,闇,,1,5,4,3,,,【不戦】（これは攻撃できない） ■「血の贖い」 通常：［DR１/“ブラックナイト”］これはターン終了時まで【不戦】を失う。,,ポルヴィス・モウス・レクスは深手を負い、深淵の内に眠りについた。ブラックナイト達はその眠りを守る事を誓いあった……給料など出ないのだが。
2021GB04-022,★,烈剣のキリク,れっけん,,ユニット,ウォルナー,気合,戦士,ビースト,炎,0,2,2,1,OD,,【OD】「盛炎斬」 これは『これが通常召喚された時、通常召喚されたラインにあるレベル０以下の敵ユニットを破壊する。』を得る。,,竜でもない。人でもない。 我らはリザード。誇り高き戦士の一族。
2021GB04-023,★,ブラックハーピー,,,ユニット,ウォルナー,怪異,風,死影,ビースト,0,4,2,1,CNT,,,相手のセットゾーンのカード１枚を選び、破壊する。,死影の軍団……「高次なる食物連鎖」を標榜し、他者の生命を自らの命へと変換する者達。
2021GB04-024,★,聖剣の一撃,,,イベント,ウォルナー,剣技,戦技,,,1,,,,,,使用タイミング：セットして、君が【装着】していれば、いつでも使える。 ■このイベントは手札からもプレイできる。 ■相手のデッキの上から４枚を公開する。その中の１枚を相手のデッキの上に置く。残りを任意の順で相手のデッキの下に置く。その後、相手に１ダメージを与える。（アドバイス！相手のターンに使用し、『ターンを終了させる』効果のカウンターを上に置こう）,,触れるものに100億年の時間経過を与える魔竜の呪いも、宇宙開闢時から存在する不滅のカリバナイト鉱石の聖剣には無力だった。
2021GB04-025,★,持たざる者の鉄拳（山田パンチ）,,,イベント,ウォルナー,気合,暴力,,,0,,,,,,使用タイミング：セットして、アタックフェイズ終了時、相手のライフが２以下なら使える。 ■このイベントは手札からもプレイできる。 ■相手に１ダメージを与える！ ■「マジギレ」 これをプレイする際、［君の墓地の〈気合〉３枚を除外］してもよい。そうしたら、これで与えるダメージは２になる！,,「デメルトリアが効かないだと!ま、まさか貴様には、体内魔力が存在しないのか？馬鹿な！そんな生物が生きているなんて、気持ち悪すぎる！」 「気持ち悪くて悪かったな!!」
2021GB04-026,★,轟竜拳,ごうりゅうけん,,イベント,ウォルナー,気合,戦技,炎,魔法,0,,,,,,使用タイミング：通常 ■レベル０以下の敵ユニット１体を選び、破壊する。,,リザードマンの魔力は魔法としてでなく、魔力を伴った戦技として発露される。
2021GB04-027,★★★★Ⓛ,ドラゴニックデストロイヤー “ズメイ”,,,ユニット,ATLAS,ドラゴン,ミリタリー,,,4,7,8,3,TD OD,レジェンド,【コスト軽減】［君の墓地の【CNT】を持つカード３枚を除外する］事で、２コストでプレイしてもよい。  【直衛召喚】（これは相手のターン中、即時タイミングで手札から召喚できる）  【OD】【TD】「バーニングＺブレス」 敵ユニット１体以上を選び、５ダメージを割り振る。,,終末の獣の死骸を回収したG＆G社は、数カ月後、驚くべき巨大戦闘兵器を作り上げた。それはつまり……？
2021GB04-028,★★★★,不思議の国のアリス,,,ユニット,ATLAS,アリス,覚醒者,,,1,2,5,1,CNT,,■「あらゆる事が馬鹿げているわ」 即時：［DR２/A7・アリス、これを手札から捨てる］君が次に受けるダメージを２軽減する。,「Mad tea party」 デッキの上から２枚を見る。その中の〈A7・アリス〉１体を手札に加えてもよい。残りを任意の順でデッキの下に置く。,これは私の夢。ここからどう行くかは私が決める。私が道を作るの。
2021GB04-029,★★★★,A7 クイーン・オブ・ハーツ,,,ユニット,ATLAS,A7,ロボ,,,3,5,5,3,,,【コスト軽減】場に君の〈A7・アリス〉が２体以上あれば、１コストでプレイしてもよい。 ■「センテンスファースト ジャッジメントレイター【ターン１】」 これが攻撃した戦闘終了時、守備ゾーンの味方ユニット１体を選び、これと入れ替えても良い。,,アリスと仲間達は邪悪に支配された12体の巨大ロボ軍団「プレイング・カーズ」を打ち破り、正義に目覚めた女王を仲間として迎えた。
2021GB04-030,★★★★,スマッシュヒーロー アパカッター,,,ユニット,ATLAS,気合,ヒーロー,レギンレイヴ,,2,5,2,2,CNT,,【装着】「ライジング!アパカッター!!」 【装着条件】STK３以上のルーラー 【装着能力】（装着中、以下の能力を得る） ●これは【貫通】を得る。 ●「ファイナルアッパー！」 通常：［DR６］ターン終了時まで、これのSTK＋２する。,これを【装着】する。,勝った！今日も勝ったぞアパカッター！
