収録カードナンバー,レアリティ,日本語名,フリガナ,ルビ,種類,所属軍,属性1,属性2,属性3,属性4,Lv,ATK,HP,STK,左上アイコン,左下アイコン,テキスト,CNT,フレーバーテキスト,投入最大数
2020GB01-001,★★★★Ⓛ,五大竜王 炎血皇マグヴァリウス,,,ユニット,ウォルナー,ドラゴン,ドラゴンロード,炎,,3,7,7,3,CNT,LEGEND,■「フレイム・パニッシャー」 これが場に出た時、敵ユニット１体以上を選び、君のダメージゾーンのカードの枚数と同数のダメージを割り振る。,これの「フレイム・パニッシャー」能力を使う。,"ヤツの肉体と心は、常に灼熱で満たされている。
カード名設定 原田峻多",4
2020GB01-002,★★★★Ⓛ,ブラスター・ヴォルテックス,,,イベント,ウォルナー,禁呪,,,,2,,,,,LEGEND,使用タイミング：セットして、敵ユニットが攻撃してきた時に使える。 ■相手の中央ライン以外の前列のユニットを全て破壊する。,,数々の「禁呪」や「精霊エンジン」の遺物が物語るように、かつてのウォルナーに強力な文明が存在していた事は確かだ。彼らは滅んだのか、あるいは「どこかへ行った」のか？,4
2020GB01-003,★★★★,鉑竜王 アルバフォルト,,,ユニット,ウォルナー,ドラゴン,ドラゴンロード,,,3,7,6,2,,,【貫通】（守備ゾーンのユニットを攻撃して破壊した時、これのSTK分のダメージを相手に与える。） ■これが【創生召喚】された時、ライフを１回復する。,,ドラゴンロードは、自らの肉体を中心とした「別の世界の理」を持つ。,4
2020GB01-004,★★★★,魔竜 ヴィオラ・フルヴトゥス,,,ユニット,ウォルナー,ドラゴン,ドラゴンロード,闇,,3,7,6,3,,,【アビスシンフォニア】条件：君の墓地からレベル０、１、２、３ の闇のカードを最低１枚ずつ合計５枚デッキの下に置く。 ■通常［１エナジーを支払い、これを手札から捨てる］１枚引く。 ■「これが【深淵召喚】された時、これ以外のユニットを全て破壊する。,,怒り狂う。そう。狂っているのだ。,4
2020GB01-005,★★★★,深淵奏師 アリギエリ,,,ユニット,ウォルナー,魔術師,闇,,,2,3,2,1,TD,,【TD】君のデッキの上から１枚を墓地に置く。 【深淵召喚】通常：これを墓地に置く。そうしたら君の墓地から【アビスシンフォニア】を持つユニットを１体、その条件を満たすことで特殊召喚してもよい。,,深淵を覗け。そこには生の神秘の裏側がある。,4
2020GB01-006,★★★★,帝国魔術師 シオリ・ローディア,,,ユニット,ウォルナー,魔術師,,,,2,3,3,2,OD TD,,【TD】【OD】君の墓地から【ファミリア】を持つユニット１体を選び、特殊召喚してもよい。 【創生召喚】通常：これと、味方の、戦士か魔術師のユニット１体以上を素材にしてデッキの下に置く。そうしたら素材にしたユニットの合計レベル以下の戦士かドラゴンを１体デッキから特殊召喚してもよい。,,近代兵器の実用試験のため、帝国は技術試験部隊を受け入れた。,4
2020GB01-007,★★★,天空王 アーラ,,,ユニット,ウォルナー,風,戦士,,,2,4,4,2,,,■これが【創生召喚】で特殊召喚された時、ライフを１回復する。 【警戒】（君のアタックフェイズ終了時に、守備ゾーンに移動させてもよい。）,,我が前で、力無き者の涙は流させない。,4
2020GB01-008,★★★,黒影魔竜 シャドゥレイカー,,,ユニット,ウォルナー,ドラゴン,闇,,,2,4,5,1,CNT,,【アビスシンフォニア】条件：君の墓地から闇のカードを２枚デッキの下に置く。,君のエナジー１枚を選び、アクトする。,魔竜。世界の理を破壊せんとたくらむ、邪悪なドラゴンロード。,4
2020GB01-009,★★★,金輪の縁結び パウラ,,,ユニット,ウォルナー,魔術師,,,,1,2,1,1,TD,,【TD】手札を１枚捨てる。そうしたら１枚引く。 【創生召喚】通常：これと、味方の、戦士か魔術師のユニット１体以上を素材にしてデッキの下に置く。そうしたら素材にしたユニットの合計レベル以下の戦士かドラゴンを１体デッキから特殊召喚してもよい。,,繋ぐよ。皆の想い！,4
2020GB01-010,★★★,爆豪術士 ヴォルフ,,,ユニット,ウォルナー,炎,魔術師,,,1,2,1,2,TD,,【TD】「爆砕火球」 敵ユニット１体を選び、２ダメージを与える。（【TD】とは手札からプレイされたユニットが場に出た時の能力）,,この魔法とて本来、害獣をひるませる程度のものだった。魔法は本来、その程度のもので良かったのだ……。,4
2020GB01-011,★★,赤竜 クリムゾン・シィルティス,,,ユニット,ウォルナー,ドラゴン,炎,,,2,4,5,2,,,■これが【創生召喚】された時、敵ユニット１体を選び、３ダメージを与える。,,"ドラゴン。事実上無限の寿命を持ち、力も、魔力も、そして時には知恵すらも人を上回る生物界の頂点。
しかし「団結」を知らない彼らは、決して世界の主役になれないのだ。",4
2020GB01-012,★★,星詠み,,,イベント,ウォルナー,魔法,,,,2,,,,,,使用タイミング：通常（君のターンのメインフェイズに、手札からか、セットしてプレイする。あるいは、ドライブした時にプレイする。） ■２枚引く。,,帝国首都への表敬訪問を予定していた東妖軍派遣部隊は、魔竜ポルヴィス・モウス・レクスの奸計により、彼の支配地域へと転移させられた。電子機器を中心にほとんどの兵器が作動しない中、彼らは無事に脱出出来るのだろうか？,4
2020GB01-013,★★,殺戮者の森,,,フィールド,ウォルナー,魔法,,,,2,,,,CNT,,■君のビーストはATK＋１、HP＋１される。,以下のどちらかを行う。 ◯君のフィールドゾーンに“殺戮者の森”が無ければこれをフィールドゾーンに置く。 ◯レベル０の敵ユニット一体を選び、破壊する。,正義も悪も、聖も邪も無い。そこにあるのは絶対的な、命の掟。,4
2020GB01-014,★★,ウェスカロット帝国正規兵,,,ユニット,ウォルナー,戦士,,,,0,2,2,1,TD,,【TD】「エナジーブースト【ターン１】」 エナジー１枚を選び、アクトする。（【ターン１】の付いた同名能力は、１ターンに一度しか使えない。）,,ウォルナー最大の版図を持つウェスカロット帝国は、各種族の長所を効率的に生かして外敵に立ち向かう、団結と協調の成功例である。,4
2020GB01-015,★★,モンスターウルヴァリン,,,ユニット,ウォルナー,大地,ビースト,,,0,1,1,1,CNT,,,これを特殊召喚する。,侵略次元の影響により、邪悪な力と魂を宿した動物。それらを総じて魔獣と呼ぶ。,4
2020GB01-016,★★,フライング・シールド,,,イベント,ウォルナー,魔法,,,,0,,,,,,使用タイミング：セットして、君か味方ユニットに、ダメージが与えられる時に使える。 ■次のダメージを２軽減する。,,「派手な歓迎ですなシオリ女史！」「ウォルナー流と言えなくもないけど、予定通り転移してれば、軍楽隊が歓迎する予定だったんだけどね。」「と言う事は、ここは帝国領じゃない……!」,4
2020GB01-017,★,時喰らいの魔神,,,ユニット,ウォルナー,トレイター,,,,2,4,1,2,CNT,,,君のライフが残り２以下なら、ターンを終了させる。（ダメージ計算の途中であっても、直ちにターンを終わらせる。）,世界の寿命。ポジティブ・エナジー。侵略次元に狙われた世界は、それらを失って消失した。,4
2020GB01-018,★,獄牙獣 ザルベリオス,,,ユニット,ウォルナー,トレイター,ビースト,闇,,2,5,3,3,,,,,どこの世界にも正直者はいる。自らの欲望に正直な者が。,4
2020GB01-019,★,フレイム・ガイザー,,,イベント,ウォルナー,炎,魔法,,,2,,,,CNT,,使用タイミング：即時（セットして、いつでも使える。） ■レベル１以下の敵ユニット１体を選び、破壊する。,これをプレイする。,侵略次元の侵攻前から、ウォルナーは危険な世界だった。しかし巨悪の存在は、幾つかの種族の同盟と、魔法の進化をもたらした。,4
2020GB01-020,★,ブラックナイト ディスター,,,ユニット,ウォルナー,戦士,トレイター,闇,,1,4,3,2,,,,,邪悪な魂に通じるものがあるのか。黒騎士の多くは悪しき竜と友誼を結ぶ。,4
2020GB01-021,★,ブルタウロス,,,ユニット,ウォルナー,大地,ビースト,,,1,4,4,2,,,,,"「ミノタウロスなら地球の神話にもいるな。いや、最近は神話じゃなくて本当にいるかも知れんが……」
東妖軍ウォルナー派遣部隊隊長 山田",4
2020GB01-022,★,ゴールデンドッグ,,,ユニット,ウォルナー,光,ビースト,,,1,4,2,2,,,【ファミリア】（通常：これに、ターン終了時まで任意の属性を１つ追加する。）,,人が戦い続ける限り、犬と言う種も進化を続ける。それが遥か昔に交わされた、種の盟約だからだ。,4
2020GB01-023,★,光神シャルサーナの盾,,,イベント,ウォルナー,光,魔法,,,1,,,,CNT,,使用タイミング：セットして、君が相手ルーラーに攻撃されている時に使える。 ■その戦闘ダメージを０にする。,君のライフが残り４以下なら、ライフを１回復する。,ウォルナーでは神々が実在する。だが意見の違いから、人に対して庇護を与える者も、抹殺を望む者もいる。,4
2020GB01-024,★,ディスペル,,,イベント,ウォルナー,魔法,,,,1,,,,CNT,,使用タイミング：セットして、相手がレベル１以下のイベントカードをプレイした時に使える。 ■そのイベントを打ち消す。,相手のセットカードか、フィールドカード１枚を選び、破壊する。,東妖軍の近代兵器は「世界のルール」と呼ばれる現象により、ほぼ全て動かなくなった。だが、魔力に恵まれた隊員にとってはその限りではなかった。「要するに魔力って言うのは、世界に対して、『自分ルール』を押し付ける力なのよね。」,4
2020GB01-025,★,コール・ライトニング,,,イベント,ウォルナー,魔法,,,,1,,,,CNT,,使用タイミング：即時（セットして、いつでも使える。） ■レベル０以下の敵ユニット１体を選び、破壊する。,これをプレイする。,"「山田さんが魔法をプレイできる。可能性はゼロね。」
鼻白む山田に、シオリは言葉を続けた。
「貴方の体内魔力はゼロ。つまり貴方は魔法が使えないし、逆にほとんどの魔法が効かない。ディスプレイサーと呼ばれる特異体質よ。」",4
2020GB01-026,★,次元間戦争,,,フィールド,ウォルナー,魔法,,,,1,,,,CNT,,■君が【創世召喚】か【深淵召喚】に成功した時、これを破壊する。そうしたらライフを１回復する。,これをフィールドゾーンに置く。,各勢力が果てなき戦いを繰り返していたウォルナーは、皮肉にも侵略次元の侵略により、各種族が互いの長所を生かし合う協調的な世界へと進化した。,4
2020GB01-027,★,聖剣の騎士,,,ユニット,ウォルナー,戦士,,,,0,3,3,1,,,,,ウォルナーの生命体は大なり小なり魔力を持ち、魔力による能力の底上げで、物理法則を超える戦闘力を持ちうる。,4
2020GB01-028,★,導きの聖剣士,,,ユニット,ウォルナー,風,戦士,光,,0,3,2,1,TD,,【TD】これのレベルを、ターン終了時まで2にする。（【TD】とは手札からプレイされたユニットが場に出た時の能力）,,地球の皆さん、四大魔竜の一柱が、貴方たちを狙っているらしいよ！,4
2020GB01-029,★,ヒュドラファミリア,,,ユニット,ウォルナー,ビースト,,,,0,2,2,1,,,【ファミリア】（通常：これに、ターン終了時まで任意の属性を１つ追加する。） ■通常：これのレベルを、ターン終了時まで１にする。,,魔術師の霊的・魔力的なブースターとなるべく、魔術工房で品種改良を受けた生物がファミリアである。,4
2020GB01-030,★,東妖軍ウォルナー派遣部隊,,,ユニット,ウォルナー,戦士,ミリタリー,,,0,1,5,1,,,,,"「若い頃から転生モノが好きでね。正直言って、こういう世界に銃を持ち込むのは無粋だと思う。だからまあ、持ってきた装備の大半が動かないのも『世界のルール』だと思えば納得はするよ。」
東妖軍ウォルナー派遣部隊隊長 山田",4
2020GB01-031,★★★★Ⓛ,キャプテン・リバティー,,,ユニット,アトラス,覚醒者,ヒーロー,ミリタリー,,2,5,4,2,,LEGEND,■「合衆国よ永遠なれ」 通常［君の墓地から【CNT】を持つカードを３枚除外する］これを手札か墓地から特殊召喚する。 【警戒】,,覚醒者。人類の防衛本能が生み出した能力者たち。,4
2020GB01-032,★★★★,ハデスの影,,,ユニット,アトラス,OWL,闇,,,3,5,3,3,CNT,,【アビスシンフォニア】条件：君の墓地から闇のカードを３枚デッキの下に置く。 ■「冥府の尖兵」 これが場に出た時、君の墓地からレベル０のOWLのユニット１体を選び、特殊召喚する。,これの「冥府の尖兵」能力を使う。,喜んで死者をお貸ししよう。冥府も人口過多なのでな。,4
2020GB01-033,★★★★,Se★★gea★t Majo★★ of the A★★my バスターコング,,,ユニット,アトラス,ミリタリー,ワイルドフォース,,,3,5,3,2,CNT TD,,【TD】「バスターラリアット」 敵ユニット１体を選び、４ダメージを与える。 【貫通】,これの【TD】能力を使う。,準備はいいか？　奴らに弾丸をカートン単位でプレゼントするぞ！,4
2020GB01-034,★★★★,捜査官 ベッキー,,,ユニット,アトラス,覚醒者,戦士,ミリタリー,,1,3,3,2,,,■「馬鹿なんじゃないの,!」 相手が手札か場からイベントカードをプレイした時、これを手札から召喚権を使わず通常召喚してもよい。（コストは支払う。）,人類全員で協力しなきゃいけない時に、ナチの復活とか馬鹿なんじゃないの!,4
2020GB01-035,★★★★,聖戦世界のアリス,,,ユニット,アトラス,覚醒者,,,,1,4,3,0,CNT,,■「ミラーワールド」 君が攻撃された時、これを手札から守備ゾーンに通常召喚してもよい。（コストは支払う。相手ターンには召喚権は必要ない。）,「ワンダーランド」 君のエナジー１枚を選び、アクトする。,アークと共に戦い続けてきた歴戦の戦士は、決着が近い事を感じ取った。「皆を呼ばないと。私の七人の仲間たちを。」,4
2020GB01-036,★★★,グイベル・オブ・ウェールズ,,,ユニット,アトラス,OWL,ドラゴン,,,3,6,4,2,CNT,,■「永遠の眠り」 これが場に出た時、君のダメージゾーンからレベル１以下のOWLのユニット１体を選び、墓地に置く。,これの「永遠の眠り」能力を使う。,"人々は目を見張り、憧憬の念に打たれた。
ああ、ドラゴンが、物語が帰ってきたのだ、と。",4
2020GB01-037,★★★,主力機甲兵 ヴィクター,,,ユニット,アトラス,ミリタリー,,,,2,4,3,2,,,■「スイープショット」 これが攻撃した時、敵ユニット１体を選び、２ダメージを与える。,,エンジンはドイツ、制御プログラムはアメリカ……イタリアは当然、外装デザインを受け持った。,4
2020GB01-038,★★★,一等軍曹 ランパートエレファント,,,ユニット,アトラス,ミリタリー,ワイルドフォース,,,2,4,3,2,TD,,【TD】「セットハット！」 これは君の次のターン開始時までHP＋２され、【警戒】を得る。,,沈着冷静なワイルドフォースの知恵袋。参謀本部への栄転を断り続けるのは、バスターコングの元で戦い続けるため。,4
2020GB01-039,★★★,Gu★s＆Gold兵器工廠,,,フィールド,アトラス,ビジネス,,,,1,,,,CNT,,■君が敵ユニットに与える効果ダメージの、元の数値を＋１する。（ダメージを割り振って与える場合は、割り振る前の数値を＋１する。）,これをフィールドゾーンに置く。,私も子供の頃は日本のロボットアニメに夢中になったよ。ところで、M★★.ポルヴィスに進呈する“ドレス”の開発は進んでいるかね？,4
2020GB01-040,★★,バスターアーム！,,,イベント,アトラス,ミリタリー,ワイルドフォース,,,3,,,,CNT,,使用タイミング：即時（セットして、いつでも使える。） ■敵ユニット１体を選び、６ダメージを与える！,これをプレイする。,お前の首で、トロフィーを作ってやる！,4
2020GB01-041,★★,カーネル ビッグオウル,,,ユニット,アトラス,ワイルドフォース,,,,2,2,5,1,CNT,,■「セービング・オーダー【ターン１】」 君のワイルドフォースが攻撃して相手にダメージを与えた時、１枚引く。,１枚引く。,で、曹長。いやジ・アーミー。私の胃薬もカートン単位で持ってきたくれたんだろうな!,4
2020GB01-042,★★,次元航行船アーク,,,イベント,アトラス,歴史,,,,1,,,,CNT,,使用タイミング：通常（君のターンのメインフェイズに、手札からか、セットしてプレイする。あるいは、ドライブした時にプレイする。） ■君の墓地からレベル１以下のミリタリーのユニット１枚を選び、手札に戻す。,これをプレイする。,アーク。侵略次元に滅ぼされた世界の住民たちが集う、復讐者の方舟。彼らは侵略次元を追いもとめ、大西洋上空に出現。ATLAS軍との共闘を申し出た。,4
2020GB01-043,★★,海兵隊 デアリングトルーパー,,,ユニット,アトラス,ミリタリー,,,,0,2,2,1,TD,,【TD】「エナジーブースト【ターン１】」 エナジー１枚を選び、アクトする。（【ターン１】の付いた同名能力は、１ターンに一度しか使えない。）,,ATLASとは、ATLa★tic Allia★ce Se★ti★elsの略称であり、奇しくも、世界を支える役割を負った神話の巨人の名でもある。,4
2020GB01-044,★★,特技兵 ブルズアイウルフ,,,ユニット,アトラス,ミリタリー,ワイルドフォース,,,0,2,1,1,TD,,【TD】「スナイプ」 以下のどちらかを行う。 ◯相手に１ダメージを与える。 ◯敵ユニット１体を選び、１ダメージを与える。,,なんで当たるかって？スコープ越しに見りゃ、どいつもこいつもでかいツラしてやがる。外す方が難しいぜ。,4
2020GB01-045,★★,ディザスター！,,,イベント,アトラス,アクシデンツ,,,,0,,,,CNT,,使用タイミング：通常 ■君のエナジー３枚を選び、アクトする。１枚引く。,君は２ダメージ受ける。,神様なんて無責任な気まぐれ野郎に、運命を預けるからこうなるのさ！,4
2020GB01-046,★,ATLAS軍ノルマンディー大演習,,,イベント,アトラス,ミリタリー,ワイルドフォース,,,2,,,,,,使用タイミング：通常（君のターンのメインフェイズに、手札からか、セットしてプレイする。あるいは、ドライブした時にプレイする。） ■君のダメージゾーンからレベル２以下のミリタリーのカード１枚を選び、手札に加える。,,地中海東部沿岸上陸作戦を想定した、ノルマンディーでの合同演習は成功に終わった。いよいよ聖地奪還作戦が、開始される……！,4
2020GB01-047,★,G&G無人戦車 ターレット・タートル,,,ユニット,アトラス,ミリタリー,,,,1,4,4,2,,,,,侵略次元の干渉により、直径1000キロメートルに及ぶドーム状の結界が中東に出現。以来、そこは侵略次元の支配地域となり、内部を伺い知れない状況が続いている。,4
2020GB01-048,★,セルカーク・ケットシー,,,ユニット,アトラス,OWL,怪異,ビースト,,1,3,1,1,,,【迎撃】（これが攻撃された時、戦闘ダメージ計算の前に、このユニットのATK分のダメージを、攻撃してきたユニットに与える。） 【ファミリア】（通常：これに、ターン終了時まで任意の属性を１つ追加する。）,,魔法より、銃の方が手っ取り早い。,4
2020GB01-049,★,ワーウルフ・ウォリアー,,,ユニット,アトラス,OWL,ビースト,闇,,1,4,3,2,,,,,侵略次元よ、感謝する。血の滾りを抑えるには、お前たちのような敵が必要だった。,4
2020GB01-050,★,ヴァンパイアソルジャー レヴァン,,,ユニット,アトラス,OWL,ミリタリー,闇,,1,2,2,2,OD TD,,【OD】【TD】「未来視」 君のデッキの上から１枚見て、そのまま戻すかデッキの下に置く。,,……見えるぞ。基地の防御を固めたまえ。「終末の獣」がやってくる。具体的には第二弾ブースターでな。,4
2020GB01-051,★,伍長 チャンプタイガー,,,ユニット,アトラス,戦士,ミリタリー,ワイルドフォース,,1,5,2,2,,,,,ワイルドフォースいちの荒くれ者で、命令違反の常習者。一方、味方の命を救った者に送られる“アンカー栄誉賞”の受賞数記録保持者でもある。,4
2020GB01-052,★,アイアンストーム,,,イベント,アトラス,火力,ミリタリー,,,1,,,,CNT,,使用タイミング：即時（セットして、いつでも使える。） ■敵ユニット１体以上を選び、２ダメージを割り振る。,これをプレイする。,聖地奪還に向けて、新兵器のテストと新兵の訓練が繰り返された。そんな折、前線基地キプロスに巨大な影が迫っているとの情報が……,4
2020GB01-053,★,魔導兵士 ジェイク,,,ユニット,アトラス,魔術師,ミリタリー,,,0,4,3,1,,,,,軍は早い段階で魔法の存在を認め、才能のある者を育て始めた。普通の少年だったジェイクにも、驚くべき才能が隠されていたが……,4
2020GB01-054,★,バンシー,,,ユニット,アトラス,OWL,怪異,闇,,0,2,4,1,,,,,あの日、地球のたがが外れてしまったのかも知れない。伝説の者たちが堂々とその姿を表し始めたのだ。あるものは伝説に違わず人に仇なし、またあるものは人類との共闘を申し出た。,4
2020GB01-055,★,ノルウェージャンフォレスト・ケットシー,,,ユニット,アトラス,OWL,怪異,ビースト,,0,2,1,1,,,【ファミリア】（通常：これに、ターン終了時まで任意の属性を１つ追加する。） ■通常：これのレベルを、ターン終了時まで１にする。,,普通の猫だと思われていた中にも、妖精族の“ケットシー”がいた。彼らは伝説に伝えられる通り、魔術に深い理解を示した。,4
2020GB01-056,★,特技兵 スポッタージラフ,,,ユニット,アトラス,ミリタリー,ワイルドフォース,,,0,2,3,1,,,■君が敵ユニットに与える効果ダメージの、元の数値を＋１する。,,侵略次元に故郷を滅ぼされ、復讐を誓った彼らは、単なる動物でいる事をやめた。鋼の肉体と鉄の意志を持つ獣人兵士、ワイルドフォースとして生まれ変わったのだ！,4
2020GB01-057,★,上等兵 タリホードッグ,,,ユニット,アトラス,ミリタリー,ワイルドフォース,,,0,2,2,1,,,【迎撃】（これが攻撃された時、戦闘ダメージ計算の前に、このユニットのATK分のダメージを、攻撃してきたユニットに与える。）,,ジ・アーミーバスターコング！　我らに可能な限りクソな戦場をご用意あれ！,4
2020GB01-058,★,上等兵 リーコンディアー,,,ユニット,アトラス,ミリタリー,ワイルドフォース,,,0,3,1,1,OD TD,,【OD】【TD】「観測し、備えよ」 君のデッキの上から１枚見て、そのまま戻すかデッキの下に置く。,,地球。ここが新たな戦場か。やらせはせんぞ、我らの故郷のようには。,4
