収録カードナンバー,レアリティ,日本語名,フリガナ,ルビ,種類,所属軍,属性1,属性2,属性3,属性4,Lv,ATK,HP,STK,左上アイコン,左下アイコン,テキスト,CNT,フレーバーテキスト,投入最大数
2020GS01-001,,零式天兵 “蒼雷”,ゼロしきてんぺい “そうらい”,,ユニット,東妖,ミリタリー,ロボ,,,2,4,4,2,,,【警戒】（君のアタックフェイズ終了時に、守備ゾーンに移動させてもよい。）,,空間機動兵器“天兵”の開発は、侵略次元による第一次侵攻に「間に合った」と言える。未門内閣は侵攻を予見していたのか？ ルポライター 露鳩 保（ろばと たもつ）,4
2020GS01-002,,陸戦拡張兵装 益荒男 壱號機,りくせんかくちょうへいそう ますらお いちごうき,,ユニット,東妖,ミリタリー,ロボ,,,2,3,4,1,OD,,【OD】これはターン終了時まで【２回攻撃】を得る。（ODとは、ドライブしたユニットが場に出る前にドライブゾーンで使える能力） ,,アドバイス！　ブースターパックの益荒男 弐號機と合体して、巨大ロボになるぞ！,4
2020GS01-003,,陸戦拡張兵装 “防人”,りくせんかくちょうへいそう “さきもり”,,ユニット,東妖,ミリタリー,ロボ,,,1,3,4,2,,,,,ロボットを作るからには……税金を収めているオッサン世代が納得できるデザインでないと、政府の支持率に関わるぞ？ （年季の入ったロボットオタク）,4
2020GS01-004,,鎌鼬のジョー,かまいたちのジョー,,ユニット,東妖,怪異,ビースト,,,0,5,2,1,,,,,あり得ないほどイケメン…そういう奴は、きっと妖怪が化けている。,4
2020GS01-005,,東妖軍機甲部隊 “迅雷”,とうようぐんきこうぶたい “じんらい”,,ユニット,東妖,戦士,ミリタリー,,,0,2,2,2,,,,,侵略次元の攻撃を受けた東京では、時空の裂け目が時折発生する。ゲートルーラーが塞ぐまでの間、兵士たちは侵入者たちを撃退する。,4
2020GS01-006,,東妖軍工兵部隊 “稲城”,とうようぐんこうへいぶたい “いなぎ”,,ユニット,東妖,ミリタリー,,,,0,2,2,1,,,■君のミリタリーはHP＋１される。,,「稲城」。草木で編まれた簡易製の防御壁を示す戦言葉。それを自らの部隊名に冠した彼らは、時を稼ぐことに自らの命をかける。,4
2020GS01-007,,丑三つ時警ら隊員 呼ぶ子,うしみつどきけいらたいいん よぶこ,,ユニット,東妖,怪異,ミリタリー,,,0,2,2,1,OD,,【OD】君のデッキの上から１枚見て、それがセット出来るカードであればセットしてもよい。セットしないならデッキの下に置く。,,夜の世界は彼らに託された。取り戻した世界を、妖怪たちは全力で守ろうと決意した。,4
2020GS01-008,,刹那の攻防,せつなのこうぼう,,イベント,東妖,剣技,,,,0,,,,,,使用タイミング：セットして、味方ユニットが攻撃されている時に使える。 ■味方ユニット１体を選び、この戦闘終了時まで【迎撃】を与える。（【迎撃】を持つユニットが攻撃された時、戦闘ダメージ計算前に【迎撃】を持つユニットのATK分のダメージを攻撃してきたユニットに与える。）,,デスティニーデイ以降、侵略次元から大規模な攻撃はない。しかしあの日に蒔かれた邪悪の種は、人々の見えない所で育ち始めていた…！,4
2020GS01-009,,決死の防衛戦,けっしのぼうえいせん,,イベント,東妖,戦術,,,,0,,,,,,使用タイミング：即時（セットして、いつでも使える。） ■味方ユニット１体を選び、ターン終了時までHP＋３する。,,その日に発生した次元断層は、甚大な被害をもたらしたのち、自ら消失した。迎撃部隊のメッセージを残して。 「煉獄……漆黒のドラゴンの騎士たちが……！」,4
2020GS01-010,,銀河剣豪グランギャラック,ぎんがけんごうグランギャラック,,ユニット,マジカルユニバース,宇宙遺産,ミリタリー,ロボ,,3,6,6,4,,,,,宇宙遺産。古代超文明の遺したこれらは、自らの意志で 侵略次元と闘う。それが使命であるかのように。,4
2020GS01-011,,宇宙忍者 銀牙,うちゅうにんじゃ ぎんが,,ユニット,マジカルユニバース,エブリデイクライム,ニンジャ,ロボ,,2,5,5,2,OD,レジェンド,【OD】「コズミック・斬！」 相手のセットカード１枚を選び、破壊する。この効果で“宇宙アーサー”を破壊した時、相手に３ダメージを与える！,,ここでもなかったか…どこに隠れている？　宇宙アーサー！,1
2020GS01-012,,宇宙怪人リクルーター,うちゅうかいじんリクルーター,,ユニット,マジカルユニバース,エブリデイクライム,ピポバース,,,2,2,1,1,CNT OD,,【OD】レベル１以下の敵ユニット１体を選び、コントロールを得てもよい。そうしたらこれを相手がコントロールする。（コントロールを得たプレイヤーは、コントロールを得たユニットを自分の攻撃ゾーンか守備ゾーンに配置出来る。）,これの【OD】能力を使う。,君の青春を、犯罪にぶつけてみないか!,4
2020GS01-013,,天の川湾岸警備隊,あまのがわわんがんけいびたい,,ユニット,マジカルユニバース,フューチャーメン,ミリタリー,,,0,2,2,1,CNT,,,敵ユニット１体を選び、レストする。,漂流者を発見した。本人がラリって無ければ、地球から初のお客さんだ。当然パスポートは不所持。とりあえず不法入国扱いだな。,4
2020GS01-014,,宇宙デュラハン,うちゅうデュラハン,,ユニット,マジカルユニバース,怪異,ピポバース,戦士,,0,4,2,1,,,,,さあ、こっち来いよ！　マジカルユニバースはにぎやかで、いつも刺激にあふれているぜ！,4
2020GS01-015,,緊急合体！,きんきゅうがったい！,,イベント,マジカルユニバース,宇宙遺産,テクノロジー,,,2,,,,CNT,,使用タイミング：セットして、場に君のロボがある時、いつでも使える。 ■君のデッキの上から４枚見て、その中から１枚のロボかミリタリーのユニットを選び、場の君のソウルを持たないロボの上か下に置く。上にあるユニットがロボなら【ソウルガード】を得る。残りのカードをデッキの下に置く。,これを墓地に置く。,破壊される！　もうダメだ！　 と思った時！ 奇跡の合体で大逆転！,4
2020GS01-016,,ブラスターキャノン,ブラスターキャノン,,イベント,マジカルユニバース,ミリタリー,,,,1,,,,CNT,,使用タイミング：即時（セットして、いつでも使える。） ■以下のどちらかを行う。 ◯相手に１ダメージを与える。 ◯敵ユニット１体を選び、２ダメージを与える。,これをプレイする。,「危うく収容所に連れて行かれる所 でしたね地球人！」 パトカーを破壊した宇宙人は言った。 「行く所がないのなら…… 我々の組織に入りませんか？」,4
